code,name,type,report_date,pre_eps,range
600256,广汇能源,预升,2017-10-09,0.0315,40%~50%
601996,丰林集团,预增,2017-10-09,0.15,55%~75%
000639,西王食品,预增,2017-10-09,0.26,59.02%~76.21%
300589,江龙船艇,预升,2017-10-09,0.0,0.45%~10.35%
300342,天银机电,预升,2017-10-09,0.34,25%~35%
300255,常山药业,预升,2017-10-09,0.11,30%~40%
600176,中国巨石,0,2017-09-30,0.4695,35%
002262,恩华药业,预升,2017-09-30,0.403,20%~50%
600618,氯碱化工,预盈,2017-09-30,-0.0401,0
002733,雄韬股份,预升,2017-09-30,0.3,-25%~25%
600173,卧龙地产,预增,2017-09-29,0.084,265
000705,浙江震元,预增,2017-09-29,0.0826,65%~75%
300146,汤臣倍健,预升,2017-09-29,0.39,30%~50%
603429,集友股份,预增,2017-09-29,0.6532,104.13%~125.15%
000633,合金投资,减亏,2017-09-29,-0.0957,0
300340,科恒股份,预增,2017-09-29,0.0584,2211.38%~2553.81%
300633,开立医疗,预增,2017-09-29,0.15,100.86%~107.47%
300601,康泰生物,预增,2017-09-29,0.2,103.54%~110.93%
002028,思源电气,预降,2017-09-28,0.32,-30%~0%
000502,绿景控股,预亏,2017-09-28,-0.1874,0
300547,川环科技,预升,2017-09-28,1.21,29.14%~36.86%
300600,瑞特股份,预升,2017-09-28,1.15,-0.74%~3.91%
600569,安阳钢铁,预增,2017-09-27,0.0587,0
000936,华西股份,预减,2017-09-27,0.61,-80%~-70%
000725,京东方A,预增,2017-09-27,0.004,0
600351,亚宝药业,预增,2017-09-27,0.087,100%~120%
002614,奥佳华,预升,2017-09-27,0.27,35%~50%
000830,鲁西化工,预增,2017-09-26,0.062,429.31%~485.02%
300219,鸿利智汇,预升,2017-09-26,0.3026,20%~40%
300392,腾信股份,预盈,2017-09-26,-0.02,0
300584,海辰药业,预升,2017-09-26,0.52,40%~50%
300031,宝通科技,预增,2017-09-26,0.321,30%~60%
300201,海伦哲,预增,2017-09-25,0.0352,102.8%~131.36%
300375,鹏翎股份,预降,2017-09-25,0.5264,-12.08%~-9.02%
000818,方大化工,预增,2017-09-23,0.0609,179%~189%
300579,数字认证,预增,2017-09-23,0.3004,159.37%~165.47%
300259,新天科技,预升,2017-09-23,0.15,25%~50%
300502,新易盛,预升,2017-09-21,1.13,10%~25%
300274,阳光电源,预增,2017-09-21,0.23,135%~155%
600782,新钢股份,预增,2017-09-20,0.2,0
300053,欧比特,预增,2017-09-20,0.0629,141.82%~154.19%
300071,华谊嘉信,预升,2017-09-18,0.18,5%~25%
300493,润欣科技,预升,2017-09-18,0.29,22.95%~31.53%
300195,长荣股份,预升,2017-09-18,0.26,30%~50%
300602,飞荣达,预降,2017-09-18,1.01,-15%~0%
000761,本钢板材,预增,2017-09-15,0.18,132.16
600293,三峡新材,预增,2017-09-15,0.0611,1088%~1231%
300672,国科微,预盈,2017-09-15,0.0,100%~107.63%
300701,森霸股份,预升,2017-09-14,0.0,20%~30%
601015,陕西黑猫,预增,2017-09-13,0.08,111%~154%
603136,天目湖,预升,2017-09-13,0.0,18.3%~21.35%
300706,阿石创,预升,2017-09-13,0.0,30.74%~38.43%
300041,回天新材,预升,2017-09-12,0.194,10%~25%
300128,锦富技术,预增,2017-09-12,0.0029,2049.15%~2407.34%
002902,铭普光磁,预降,2017-09-12,0.0,-11.35%~-9.56%
600438,通威股份,预增,2017-09-11,0.2892,50%~70%
603367,辰欣药业,预升,2017-09-11,0.0,5%~13%
601086,国芳集团,预升,2017-09-11,0.0,18.45%~24.37%
603378,亚士创能,预升,2017-09-11,0.0,0%~10%
002346,柘中股份,预增,2017-09-08,0.03,1895.16%~1945.04%
300695,兆丰股份,预升,2017-09-07,0.0,4.17%~12.5%
300703,创源文化,预升,2017-09-06,0.0,10.6%~14.74%
002829,星网宇达,预升,2017-09-05,0.74,5%~20%
603157,拉夏贝尔,预升,2017-09-05,0.0,1.13%~10.61%
603363,傲农生物,预增,2017-09-05,0.0,34.73%~50.59%
300654,世纪天鸿,预升,2017-09-05,0.0,-19.22%~4.66%
002901,大博医疗,预升,2017-09-05,0.0,14%~24%
603963,大理药业,预升,2017-09-04,0.0,3%~9%
002900,哈三联,预升,2017-09-04,0.0,5%~10%
603055,台华新材,预增,2017-09-01,0.0,90%~105%
300678,中科信息,预升,2017-09-01,0.0,5.54%~23.13%
000011,深物业A,预盈,2017-08-31,-0.0121,8113.89
600302,标准股份,预亏,2017-08-31,-0.1052,0
600678,四川金顶,减亏,2017-08-31,-0.0667,0
002447,壹桥股份,预降,2017-08-31,0.14,-80%~-30%
600247,ST成城,预亏,2017-08-31,-0.186,0
002032,苏泊尔,预升,2017-08-31,1.18,0%~30%
000760,斯太尔,预盈,2017-08-31,-0.13,159
600746,江苏索普,预增,2017-08-31,0.0752,0
600682,南京新百,预盈,2017-08-31,-0.54,0
600428,中远海特,0,2017-08-31,0.016,50%
600401,*ST海润,预亏,2017-08-31,0.0096,0
600242,中昌数据,预盈,2017-08-31,-0.017,0
002179,中航光电,预升,2017-08-31,0.9342,0%~15%
002180,纳思达,预亏,2017-08-31,0.26,0
002050,三花智控,预升,2017-08-31,0.37,20%~50%
002551,尚荣医疗,预升,2017-08-31,0.3,10%~40%
000912,泸天化,减亏,2017-08-31,-0.64,68.1%~73.41%
600035,楚天高速,预增,2017-08-31,0.22,0
002845,同兴达,预增,2017-08-31,0.56,134%~199%
600096,云天化,减亏,2017-08-31,-1.1798,0
600027,华电国际,0,2017-08-31,0.377,-50%
002157,正邦科技,预降,2017-08-31,0.45,-55.86%~-44.82%
600139,西部资源,预亏,2017-08-31,-0.349,0
600817,*ST宏盛,预亏,2017-08-31,-0.0056,0
000426,兴业矿业,预增,2017-08-31,0.0811,317.48%~362.61%
600787,中储股份,预增,2017-08-31,0.1957,175
600749,西藏旅游,预亏,2017-08-31,-0.1386,0
600645,中源协和,预警,2017-08-31,0.01,0
002581,未名医药,预升,2017-08-31,0.41,-11.08%~0.41%
002751,易尚展示,预增,2017-08-31,0.0991,101.07%~147.74%
002663,普邦股份,预升,2017-08-31,0.063,0%~30%
600345,长江通信,预增,2017-08-31,0.26,0
000710,贝瑞基因,预盈,2017-08-31,-0.0449,0
300699,光威复材,预增,2017-08-31,0.0,60%~80%
000338,潍柴动力,预增,2017-08-31,0.38,150%~180%
002555,三七互娱,预增,2017-08-31,0.361,52.89%~79.48%
000693,*ST华泽,预亏,2017-08-31,-0.167,-35.54%~-4.69%
002855,捷荣技术,预升,2017-08-31,0.0,-35%~5%
002880,卫光生物,预升,2017-08-31,0.0,-8%~7%
002131,利欧股份,预升,2017-08-31,0.2859,0%~30%
601801,皖新传媒,预升,2017-08-31,0.388,30%~50%
603077,和邦生物,预升,2017-08-31,0.06,0
600730,中国高科,预降,2017-08-31,1.0864,0
600718,东软集团,预减,2017-08-31,1.66,0
600556,ST慧球,减亏,2017-08-31,-0.0458,0
002024,苏宁云商,预盈,2017-08-31,-0.04,0
002504,*ST弘高,预降,2017-08-31,0.219,-55%~-15%
600983,惠而浦,预亏,2017-08-31,0.33,0
603359,东珠景观,预升,2017-08-31,0.0,18.79
601919,中远海控,预盈,2017-08-31,-0.9,0
603106,恒银金融,预升,2017-08-31,0.0,1.5%~12.19%
000792,盐湖股份,预警,2017-08-31,0.1401,0
000029,深深房A,预降,2017-08-30,0.2341,-45.12%~-36.67%
