,Unnamed: 0,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,timeToMarket,start,end,percent,PE,PB,dividend,net_profits_2016,profits_yoy_2016,percent_2016,net_profits_2015,profits_yoy_2015,percent_2015,net_profits_2014,profits_yoy_2014,percent_2014
0,150,600673,东阳光科,0.08,500.0,,5.71,,20840.8,484.85,,08-19,19930917,7.29,7.29,0.0,91.125,,inf,10948.39,10.09,-28.1419418433,9944.98,-36.36,79.0504765267,15627.62,6.92,56.1742006615
1,328,002075,沙钢股份,0.09,187.58,,6.68,,18902.37,187.56,,08-26,20061025,16.12,16.12,0.0,179.111111111,,inf,21999.55,-372.87,-31.6137790599,-8062.18,-328.93,587.430737824,3521.64,24.69,55.369279565
2,434,600655,豫园股份,0.23,130.3,,3.03,,32832.51,129.77,,08-30,19920902,11.32,11.32,0.0,49.2173913043,,inf,47884.45,-40.68,-28.2090309488,80720.42,-19.52,38.0372931804,100296.41,2.25,56.6941015089
3,0,600395,盘江股份,0.28,,,7.23,,46091.58,576765.83,,08-29,20010531,7.845,8.06,2.74059910771,28.7857142857,,210452.462156,19602.28,744.74,-1.59307576518,2320.5,-92.45,-30.4180850135,30721.25,-35.97,71.7948717949
4,8,000885,同力水泥,0.26,11108.7,,5.02,,12703.81,11484.33,,08-25,19990319,19.031,19.07,0.204928800378,73.3461538462,,56040.5857001,4269.42,18.3,31.4023337706,3608.93,-78.55,32.1924059876,16824.9,153.48,75.2118982888
5,285,600280,中央商场,0.21,224.62,,13.15,,24279.13,226.51,,08-18,20000926,8.565,8.57,0.0583771161705,40.8095238095,,3880.1163,11830.75,4.85,-22.5657716301,11283.58,-72.32,56.0745026104,40758.13,-28.53,13.5555199487
6,11,000937,冀中能源,0.16,6111.54,,3.01,,57054.6,6128.65,,08-18,19990909,6.63,6.84,3.16742081448,42.75,,1934.90235714,24397.57,-30.65,33.7502521687,35181.3,1343.4,-20.8273438748,2437.4,-97.94,14.3770551699
7,13,000959,首钢股份,0.18,5687.1,,3.75,,94889.51,5667.78,,08-22,19991216,6.62,6.91,4.38066465257,38.3888888889,,1293.81736552,40096.4,-135.28,62.2549019608,-113662.11,-1914.42,-1.52063721941,6264.38,-127.34,102.393746947
8,29,601857,中国石油,0.07,2200.0,,1.06,,1267400.0,2300.38,10派0.6926,08-25,20071105,7.84,7.99,1.91326530612,114.142857143,,1202.33194667,790000.0,-77.84,-4.26181462938,3565300.0,-66.73,-21.5763263743,10717300.0,-17.29,46.3079725375
9,1,600291,西水股份,2.16,36427.12,,19.91,,235570.6,39069.99,,08-31,20000731,19.169,26.72,39.3917262246,12.3703703704,,991.832390823,3599.57,-79.76,-34.0251247634,17781.41,108.65,47.2854463426,8522.19,18.67,129.891621023
10,506,600738,兰州民百,0.1,-4.59,,4.66,,8114.11,102.62,,08-30,19960802,9.46,9.47,0.105708245243,94.7,,970.785200001,6243.88,-26.09,-14.9051002968,8448.49,-18.7,57.7326901249,10391.68,-5.91,19.6198234895
11,319,601137,博威合金,0.23,109.09,,4.59,,14645.58,197.38,,08-22,20110127,12.962,12.99,0.216016046906,56.4782608696,,913.728414287,18335.04,160.06,5.68283734203,7050.23,1.67,31.9526627219,6934.61,-17.47,27.2067880115
12,557,300432,富临精工,0.42,35.48,,5.95,,21228.54,89.84,,08-29,20150319,24.107,24.14,0.136889700087,57.4761904762,,656.294812122,22882.91,31.73,-2.89615725449,17370.6,27.0,356.360294118,13677.65,46.34,
13,40,000930,中粮生化,0.23,1692.31,,13.39,,22423.48,1756.14,,08-28,19990712,13.44,13.85,3.0505952381,60.2173913043,,575.671258536,12707.87,-108.96,-9.06630581867,-141803.68,-4124.88,86.3338376198,3523.18,-30.53,86.8991517436
14,773,300138,晨光生物,0.22,12.19,,5.06,,7851.59,53.87,,08-15,20101105,12.967,12.98,0.100254492172,59.0,,537.332530772,9247.4,34.29,2.9045313864,6886.25,207.68,93.8615384615,2238.14,113.28,22.896577803
15,325,600463,空港股份,0.21,196.29,,4.36,,6221.94,189.02,,08-26,20040318,14.897,14.95,0.355776330805,71.1904761905,,531.288856604,2814.87,23.86,-19.7446395863,2272.58,-46.58,95.9256913658,4254.34,-43.57,24.9538380375
16,5,002352,顺丰控股,0.45,800.0,,8.84,,188362.62,17045.24,,08-26,20100205,41.461,54.98,32.6065459106,122.177777778,,522.75515618,418042.62,16534.82,160.8430324,2513.06,4.17,105.973824025,2412.44,-40.11,-0.322913975717
17,20,600497,驰宏锌锗,0.13,1304.44,,5.99,,54462.82,3148.5,,08-22,20040420,7.03,7.47,6.25889046942,57.4615384615,,503.044431818,-165290.96,-3437.48,28.4252831567,4952.56,-69.27,-3.3033033033,16116.51,-72.66,25.8279617693
18,294,002514,宝馨科技,0.07,250.0,,4.37,,4116.38,215.6,,08-05,20101203,9.29,9.33,0.43057050592,133.285714286,,500.731,-8106.86,-273.37,25.4896663515,4676.1,176.71,32.6227158724,1689.86,-16.85,17.7637130802
19,7,600515,海航基础,0.27,1191.43,,3.09,,105962.43,11819.71,,08-31,20020806,11.6,14.4,24.1379310345,53.3333333333,,489.6737,95975.83,1401.08,-30.6220095694,6393.77,71.11,106.419753086,3736.74,12.99,5.74412532637
20,113,000683,远兴能源,0.08,700.0,,3.85,,31900.94,691.49,,08-24,19970131,3.18,3.23,1.57232704403,40.375,,439.787639999,-51277.6,-1002.72,3.21324245375,5680.36,-72.7,11.8736383442,20805.64,673.42,24.2779783394
21,37,002683,宏大爆破,0.11,1690.62,,2.78,,8041.46,1902.37,,08-24,20120612,8.84,9.28,4.97737556561,84.3636363636,,382.203427273,6263.27,-38.24,-29.8913474502,10141.25,-38.8,-48.1281882508,16570.35,1.05,-20.4242642485
22,191,002097,山河智能,0.11,376.07,,3.35,,8413.94,376.97,,08-18,20061222,8.85,8.94,1.01694915254,81.2727272727,,370.687166668,6692.1,-328.87,-17.4363280157,-2924.0,-547.4,62.0408163265,653.55,-76.07,38.7665198238
23,30,603318,派思股份,0.07,2233.33,,5.39,,2581.81,2296.28,,08-18,20150424,13.798,14.81,7.33439628932,211.571428571,,313.083709881,2342.57,21.63,-24.2201230228,1925.94,-46.27,484.714193963,3584.24,-28.54,
24,135,000735,罗牛山,0.11,466.0,,3.73,,13039.98,542.7,10派0.2,08-26,19970611,7.16,7.29,1.8156424581,66.2727272727,,298.902461539,7988.14,31.32,-5.41611624835,6082.96,19.3,-0.434039195055,5098.71,79.85,17.0592763664
25,12,000960,锡业股份,0.24,5700.0,,4.45,,35853.01,5676.33,,08-31,20000221,13.12,15.7,19.6646341463,65.4166666667,,288.656781396,13611.93,-106.91,-2.52600297177,-196862.73,-5809.64,-22.6436781609,3447.9,-102.57,62.9213483146
26,51,600067,冠城大通,0.34,1600.0,,7.26,,51123.9,1392.93,,08-25,19970508,7.05,7.4,4.96453900709,21.7647058824,,280.5759,32151.71,51.34,-16.7945237814,21245.05,-71.71,9.47028423773,75106.97,-41.22,25.1819505095
27,83,600862,中航高科,0.15,1400.0,,6.12,,21412.34,938.83,,08-25,19940520,12.24,12.67,3.51307189542,84.4666666667,,267.239051163,7342.21,-49.23,-38.4615384615,14460.59,-171.07,114.331896552,-20346.92,-7420.73,193.670886076
28,18,300227,光韵达,0.09,3155.17,,2.95,,1413.72,3362.64,,08-19,20110608,24.888,28.21,13.3477981356,313.444444444,,251.92469693,1618.58,-38.12,-31.7519949543,2615.48,-4.72,99.5895134366,2744.96,52.01,22.5090518975
29,117,600638,新黄浦,1.1,666.09,,15.62,,61860.6,666.02,,08-30,19930326,17.595,18.07,2.69963057687,16.4272727273,,246.707829474,10222.99,-54.92,25.6337022492,22676.22,33.62,-11.9348550588,16970.94,-25.67,35.1376614548
30,28,600641,万业企业,1.96,2424.77,,30.61,,157744.57,2425.69,,08-18,19930407,12.063,13.39,11.0005802868,6.83163265306,,220.505640317,71842.21,239.72,-21.2700691816,21147.25,-47.2,158.119946092,40049.43,76.67,47.9192623972
31,48,600389,江山股份,0.22,1489.36,,4.73,,6655.26,1486.92,,08-22,20010110,19.677,21.05,6.97768968847,95.6818181818,,213.096320757,5238.04,395.52,11.9219612081,1057.08,-94.76,0.4169522504,20175.93,-33.37,-31.002955665
32,792,002258,利尔化学,0.28,47.37,,7.08,,14935.67,52.44,10派1,08-17,20080708,12.329,12.36,0.251439695028,44.1428571429,,208.558954839,20834.73,50.48,9.96254013557,13845.36,49.82,72.0687538367,9241.21,-11.22,6.14106532008
33,404,002088,鲁阳节能,0.18,63.64,,3.66,,6266.72,143.54,,08-25,20061130,12.888,12.99,0.791433891993,72.1666666667,,181.367011765,10466.82,81.89,12.4313007066,5754.57,-26.68,31.728338313,7848.54,-9.23,56.3982746226
34,39,002120,韵达股份,0.74,174.07,,18.18,,74773.49,1775.7,,08-24,20070306,41.913,46.08,9.94202276143,62.2702702703,,178.6055054,117722.43,2263.06,87.5553765606,4981.79,-41.1,127.172918573,8457.84,140.48,47.2604790419
35,15,600133,东湖高新,1.13,4443.95,,32.18,,71473.92,4440.23,,08-30,19980212,8.22,10.39,26.399026764,9.19469026549,,168.196730876,14562.05,2.54,-32.0661157025,14200.92,-51.97,44.9101796407,29564.77,-163.74,48.0496453901
36,47,600428,中远海特,0.03,1600.0,,0.77,,7224.38,1538.04,,08-31,20020418,6.12,6.7,9.47712418301,223.333333333,,162.289737931,5026.09,-65.48,-40.2518793322,14558.14,-26.41,28.5194479297,19782.56,506.11,127.909636832
37,16,600728,佳都科技,0.02,4080.0,,1.13,,3317.1,4351.69,,08-29,19960716,8.47,10.79,27.3907910272,539.5,,158.874199569,10793.38,-36.64,-40.8932309839,17034.46,48.36,192.150866463,11482.14,26.27,-18.7241093621
38,483,002699,美盛文化,0.1,0.0,,2.72,,9461.11,108.51,,08-24,20120911,18.593,18.72,0.683052761792,187.2,,158.860348819,18995.86,50.27,-33.8562789043,12640.83,30.15,283.91149959,9712.54,132.75,84.8523100227
39,71,300337,银邦股份,0.03,1096.43,,1.78,,2752.29,1077.86,,08-18,20120718,9.86,10.6,7.50507099391,353.333333333,,143.617562162,730.66,-103.91,8.11403508772,-18679.03,-435.82,64.3243243243,5562.2,-26.47,12.8966639544
40,551,002455,百川股份,0.12,100.0,,6.74,,5866.52,91.28,,08-01,20100803,12.665,12.75,0.671140939597,106.25,,136.0072,7979.44,32.71,16.6313656874,6012.65,9.67,157.74982198,5482.28,36.94,40.950150552
41,189,601258,庞大集团,0.04,300.0,,2.25,,29659.34,379.58,,08-31,20110428,2.77,2.85,2.8880866426,71.25,,131.429575,38169.46,61.9,-29.3367346939,23575.82,66.6,31.7647058824,14151.03,-32.86,18.7624750499
42,65,000060,中金岭南,0.25,1150.0,,6.95,,55207.97,1167.74,10派0.3,08-28,19970123,11.115,12.13,9.13180386865,48.52,,127.876158621,32322.88,60.85,-20.4537321978,20094.67,-57.26,48.0033894715,47013.46,13.8,51.9066773934
43,198,600410,华胜天成,0.14,282.51,,3.15,,15270.82,366.71,,08-29,20040427,10.834,11.15,2.91674358501,79.6428571429,,125.725827215,3579.92,-30.85,-42.412161803,5177.02,-45.58,30.3110064418,9513.36,127.79,203.043660789
44,224,000680,山推股份,0.05,307.21,,1.72,,5605.79,306.69,,08-31,19970122,5.53,5.67,2.53164556962,113.4,,121.14255,4345.54,-104.96,-27.7124183007,-87552.18,-1985.63,1.32450331126,4643.13,-114.2,137.421383648
45,216,300461,田中精机,0.22,340.0,,4.85,,1512.92,319.22,,08-22,20150519,63.779,65.64,2.91788833315,298.363636364,,109.401033745,1336.42,-39.29,7.62208497857,2201.24,-14.42,530.84947839,2572.04,-16.58,
46,9,600801,华新水泥,0.49,4800.0,,7.05,,72796.48,8954.01,,08-26,19940103,7.659,14.43,88.4057971014,29.4489795918,,101.283063934,45194.04,339.82,-4.17865632428,10275.6,-91.59,-22.1637939429,122155.88,3.47,42.0921544209
47,182,600331,宏达股份,0.06,396.77,,2.61,,12512.2,395.15,,08-31,20011220,6.36,6.61,3.93081761006,110.166666667,,100.52616,12844.51,225.43,-15.2,3946.98,-111.67,21.7532467532,-33811.78,-1378.35,51.3513513514
48,91,600161,天坛生物,1.41,642.11,,33.89,,94521.27,875.16,,08-29,19980616,30.117,32.87,9.14101670153,23.3120567376,,95.7398972757,26177.74,2523.75,12.7935283323,997.72,-92.23,35.3388412996,12839.17,-65.49,21.4017598917
49,129,600148,长春一东,0.11,583.13,,4.02,,1546.71,579.16,,08-25,19980520,27.99,29.69,6.07359771347,269.909090909,,95.3569905882,1216.04,987.94,2.26525392766,111.77,-97.1,44.7152752075,3851.35,30.72,101.760187753
50,307,600579,天华院,0.01,191.15,,0.3,,364.82,205.44,,08-29,20020809,14.34,14.65,2.16178521618,1465.0,,95.0325677419,627.99,-82.69,-13.9772045591,3628.28,-42.43,40.2018502944,6302.26,-251.83,85.4914196568
51,360,002101,广东鸿图,0.54,93.55,,5.39,,15306.96,160.64,,08-22,20061229,23.141,23.54,1.7242124368,43.5925925926,,93.1671739349,16608.65,29.06,-18.0385350995,12868.5,9.1,108.769594794,11794.69,30.93,52.951820855
52,66,000597,东北制药,0.08,700.0,,1.68,,3969.47,1162.03,,08-29,19960523,10.0,11.28,12.8,141.0,,90.78359375,2378.81,-106.19,-3.56798457088,-38435.78,-541.41,-2.07743153919,8707.5,-152.15,52.5936599424
53,21,002648,卫星石化,0.6,3022.28,,13.49,,48417.89,3029.28,,08-15,20111228,12.108,16.25,34.2087875785,27.0833333333,,88.5526852727,31156.46,-171.46,13.0426664177,-43601.12,-1439.3,-10.6597714572,3255.51,-93.49,-15.355831686
54,26,600022,山东钢铁,0.07,2396.3,,3.65,,59558.56,2472.58,,07-28,20040629,1.925,2.47,28.3116883117,35.2857142857,,87.3342477064,-59989.16,-890.06,-19.5906432749,7592.99,-105.43,-0.333055786844,-139841.43,-983.42,86.7807153966
55,96,600798,宁波海运,0.06,803.23,,2.11,,5770.75,805.2,,08-29,19970423,5.309,5.8,9.24844603503,96.6666666667,,87.0632749491,8837.09,450.7,-21.7769264771,1604.71,116.69,32.1713729309,740.57,24.41,47.5998850244
56,241,002622,融钰集团,0.03,200.0,,2.09,,2467.55,289.87,,08-30,20111018,14.58,15.12,3.7037037037,504.0,,78.2649000001,1567.17,-82.66,15.3481012658,9036.55,91.24,144.298415153,4725.35,22.19,114.155629139
57,95,600693,东百集团,0.1,810.53,,4.76,,9324.58,809.72,,08-19,19931122,10.12,11.17,10.3754940711,111.7,,78.0415847623,10104.67,104.66,49.593495935,4937.3,-66.24,52.7777777778,14623.84,160.11,37.217229625
58,774,300328,宜安科技,0.05,51.18,,2.84,,2105.24,53.77,,08-22,20120619,11.707,11.79,0.708977534808,235.8,,75.841613253,3068.77,-42.93,-39.3325387366,5376.96,9.92,125.274340416,4891.85,-1.56,64.2884541619
59,32,601699,潞安环能,0.38,1800.0,,5.97,,114252.19,2118.85,,08-25,20060922,7.958,10.25,28.8012063332,26.9736842105,,73.5680990403,85714.09,732.02,25.3820702694,10301.95,-89.51,-27.5042832667,98199.3,-35.77,8.15318097591
60,311,002636,金安国纪,0.36,200.0,,14.24,,26184.39,203.21,,08-30,20111125,16.294,16.75,2.798576163,46.5277777778,,72.6119241229,34107.33,530.21,-28.0395707283,5412.06,26.99,400.066254417,4261.72,41.75,44.1120305538
61,418,002589,瑞康医药,0.34,-12.76,,7.24,,51412.07,136.7,,08-28,20110610,14.074,14.34,1.89000994742,42.1764705882,,72.3276616542,59075.89,150.39,-9.50360082305,23593.85,30.36,122.266685722,18098.68,26.07,27.8691520468
62,218,002617,露笑科技,0.22,301.47,,6.85,,16007.57,318.63,,08-29,20110920,14.601,15.29,4.71885487295,69.5,,67.5227377359,6476.35,-22.16,12.722921331,8320.39,-312.59,88.8743073782,-3913.82,-202.7,91.9395465995
63,547,002093,国脉科技,0.08,67.87,,2.7,,7812.32,92.34,,08-30,20061215,11.057,11.21,1.38373880799,140.125,,66.7322470591,7734.54,84.18,-25.6022069708,4199.38,-23.11,144.883835887,5461.78,-49.64,19.1869599372
64,456,300438,鹏辉能源,0.36,111.76,,6.72,,9621.17,120.29,,08-29,20150424,31.396,31.98,1.8601095681,88.8333333333,,64.6682335616,13878.17,58.99,-23.9971918952,8728.83,44.89,597.905051529,6024.39,5.34,
65,52,300340,科恒股份,0.52,1157.56,,4.61,,6077.3,1380.5,,08-25,20120726,53.11,64.59,21.6155149689,124.211538462,,63.8661628921,3358.59,-145.19,46.2279735683,-7432.62,54.25,101.777777778,-4818.55,-1496.62,18.2499014584
66,403,300036,超图软件,0.06,114.81,,1.6,,2602.06,143.62,,08-22,20091225,17.337,17.74,2.3245082771,295.666666667,,61.7851101736,12745.02,116.83,-10.5787084795,5877.89,28.07,180.213903743,4589.44,-16.2,51.2680367293
67,487,300232,洲明科技,0.22,93.42,,8.1,,13633.49,108.05,,08-29,20110622,14.868,15.13,1.76217379607,68.7727272727,,61.3163129772,16645.3,46.57,-4.50867052023,11356.81,86.61,191.354790419,6085.89,84.58,36.2222788682
68,50,000528,柳工,0.22,1424.65,,2.73,,24358.78,1423.65,,08-29,19931118,7.222,8.9,23.2345610634,40.4545454545,,61.2729457688,4926.01,131.13,-10.4303609079,2131.28,-89.26,-33.4900602161,19852.0,-40.77,106.103366202
69,939,000021,深科技,0.21,41.31,,5.68,,30743.95,41.33,,08-25,19940202,9.376,9.44,0.682593856655,44.9523809524,,60.54845,21442.35,18.69,-21.3554772689,18066.03,2.84,68.4612123781,17567.64,-23.6,37.1245882581
70,171,000723,美锦能源,0.12,184.19,,7.01,,50190.78,412.0,,08-30,19970515,8.337,8.92,6.99292311383,74.3333333333,,58.9167066895,67965.91,-286.58,20.0950734659,-36427.42,-3940.28,61.8181818182,948.56,-74.27,20.6411698538
