,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,timeToMarket,start,end,percent,PE,PB,dividend
1679,603017,中衡设计,2.03,7.41,,25.32,,9142.21,7.47,,03-06,20141231.0,10.599,10.599,0.0,5.22118226601,,inf
3372,002524,光正集团,-0.17,-5766.67,,-10.87,,-8765.72,-5756.38,,04-25,20101217.0,6.32,6.29,-0.474683544304,-37.0,,12126.7738667
3361,002359,北讯集团,-0.2,-2840.28,,-8.48,,-8224.78,-2905.74,,02-17,20100210.0,3.789,3.753,-0.950118764846,-18.765,,3058.29135
3349,002174,游族网络,1.67,-776.11,,67.07,,41459.34,-2126.35,,03-31,20070925.0,16.476,16.015,-2.79800922554,9.58982035928,,759.951032538
3354,000010,美丽生态,-0.13,-2492.45,,-13.52,,-7455.32,-2474.23,,03-28,19951027.0,7.67,7.4,-3.52020860495,-56.9230769231,,702.864596297
2651,000819,岳阳兴长,0.17,-40.96,,6.62,,4057.27,-35.04,10派0.5送0.5,03-31,19970625.0,13.976,13.967,-0.064396107613,82.1588235294,,544.132266667
480,002005,德豪润达,0.01,43.42,,0.29,,1395.1,58.07,10派0.3,04-29,20040625.0,7.891,7.901,0.126726650615,790.1,,458.230369999
1,000810,创维数字,0.86,2886.41,,21.42,,38686.26,10297.15,10派2转10,03-20,19980602.0,6.412,7.987,24.5633187773,9.28720930233,,419.208417778
3123,000526,*ST紫学,0.02,-129.39,,1.27,,196.65,-129.47,,04-27,19931101.0,19.2,19.14,-0.3125,957.0,,414.304
2997,600123,兰花科创,0.06,-93.33,,0.69,,6677.68,-93.33,10派0.18,04-21,19981217.0,10.166,10.143,-0.226244343891,169.05,,412.518600001
3229,000608,阳光股份,-0.78,-400.0,,-16.27,,-58517.2,-308.93,,04-25,19960919.0,5.1,5.06,-0.78431372549,-6.48717948718,,393.88575
3324,000048,康达尔,0.29,-1355.41,,24.74,,11379.98,-1361.6,,04-28,19941101.0,11.11,10.57,-4.8604860486,36.4482758621,,280.136592593
364,300054,鼎龙股份,0.31,14.81,2.66,12.18,0.3,13438.56,80.05,,03-06,20100211.0,7.204,7.225,0.2915047196,23.3064516129,2.71616541353,274.609619048
3214,600230,沧州大化,-0.69,-245.31,,-11.37,,-19238.08,-256.72,,03-05,20000406.0,11.425,11.284,-1.2341356674,-16.3536231884,,208.016028368
70,600401,*ST海润,-0.8,309.87,,-35.98,,-94759.55,367.72,10转20,04-23,20030924.0,2.253,2.302,2.17487794052,-2.8775,,169.076155102
8,600206,有研新材,0.07,600.0,,1.93,,6023.17,3023.52,,03-14,19990319.0,9.675,11.48,18.6563307494,164.0,,162.06402216
2525,300128,锦富技术,0.18,-25.0,4.96,5.2,0.64,7098.9,-26.79,,04-23,20101013.0,6.936,6.923,-0.187427912341,38.4611111111,1.39576612903,142.934953846
3268,000606,神州易桥,-0.24,-534.04,,-13.47,,-11558.91,-534.08,,03-31,19961004.0,6.734,6.46,-4.0689040689,-26.9166666667,,131.258931387
2704,002352,顺丰控股,0.31,-40.38,,3.31,,2412.44,-40.11,,04-29,20100205.0,7.742,7.717,-0.322913975717,24.8935483871,,124.212648
