,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,timeToMarket,start,end,percent,PE,PB,dividend
1338,603778,乾景园林,1.56,15.56,,18.99,,9332.51,14.8,,04-08,20151231.0,4.356,4.356,0.0,2.79230769231,,inf
3377,601005,*ST重钢,-1.35,-11350.0,,-85.76,,-598724.8,-11741.32,,03-31,20070228.0,3.33,3.29,-1.2012012012,-2.43703703704,,9774.64890001
1,600061,国投安信,1.33,13200.0,,19.75,,452259.27,72829.44,,03-31,19970519.0,22.645,25.486,12.5458158534,19.162406015,,5805.07803167
3379,600307,酒钢宏兴,-1.18,-19062.9,,-57.81,,-736387.36,-18917.21,,04-29,20001220.0,4.2,3.83,-8.80952380952,-3.24576271186,,2147.35897297
3371,600569,安阳钢铁,-1.07,-8983.33,,-42.75,,-255062.26,-9040.25,,04-28,20010820.0,3.33,3.16,-5.10510510511,-2.95327102804,,1770.82544117
659,002309,中利集团,0.73,40.38,,9.47,,41525.5,45.41,,04-22,20091127.0,18.525,18.531,0.0323886639676,25.3849315068,,1402.03375
3319,000959,首钢股份,-0.21,-1921.19,,-4.84,,-113662.11,-1914.42,,04-27,19991216.0,4.143,4.08,-1.52063721941,-19.4285714286,,1258.95905714
3355,600740,山西焦化,-1.08,-4302.33,,-34.43,,-83020.68,-4299.89,,03-29,19960808.0,6.72,6.49,-3.42261904762,-6.00925925926,,1256.31568696
137,600637,东方明珠,1.53,117.38,,14.49,,290671.73,270.06,10派2.3,04-27,19930316.0,36.85,36.941,0.246947082768,24.1444444444,,1093.59461538
3283,600403,*ST大有,-0.54,-1180.0,,-14.07,,-128832.6,-1265.2,,04-09,20031009.0,6.022,5.95,-1.19561607439,-11.0185185185,,1058.19922223
3375,600425,*ST青松,-0.49,-12350.0,,-13.78,,-68079.86,-10667.51,,04-09,20030724.0,6.856,5.84,-14.8191365228,-11.9183673469,,719.846934643
0,600856,中天能源,0.57,56900.0,,15.22,,28414.88,98762.32,10转10,03-21,19940425.0,4.993,13.458,169.537352293,23.6105263158,,582.540181643
3337,000657,中钨高新,-0.82,-2444.86,,-16.03,,-51590.75,-2443.95,,04-27,19961205.0,16.77,16.01,-4.53190220632,-19.5243902439,,539.276861842
3222,600596,新安股份,-0.39,-636.61,,-6.46,,-26681.69,-636.69,10派0.5,04-27,20010906.0,10.128,10.003,-1.23420221169,-25.6487179487,,515.8717056
3095,600132,重庆啤酒,-0.14,-193.33,,-5.47,,-6567.84,-189.44,10派2,04-09,19971030.0,15.324,15.261,-0.41111981206,-109.007142857,,460.790247619
2999,600213,亚星客车,0.09,-113.64,,36.41,,2019.63,-113.93,,04-21,19990831.0,15.03,14.98,-0.332667997339,166.444444444,,342.47358
3357,601118,海南橡胶,-0.25,-4517.54,,-11.66,,-98971.32,-4522.12,,04-23,20110107.0,8.72,7.56,-13.3027522936,-30.24,,339.938675862
3370,600971,恒源煤电,-1.38,-7000.0,,-22.41,,-138329.15,-8982.73,,03-29,20040817.0,8.73,6.29,-27.9495990836,-4.55797101449,,321.390298771
2955,600022,山东钢铁,0.01,-104.92,,0.46,,7592.99,-105.43,,04-29,20040629.0,2.402,2.394,-0.333055786844,239.4,,316.553575
