,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,timeToMarket,start,end,percent,PE,PB,dividend
554,603239,浙江仙通,2.22,70.77,,41.65,,15016.66,71.17,,03-31,20161230.0,10.416,10.416,0.0,4.69189189189,,inf
386,603929,亚翔集成,1.03,106.0,,27.16,,16524.05,107.91,,03-28,20161230.0,7.059,7.059,0.0,6.85339805825,,inf
1119,300236,上海新阳,0.28,0.0,,4.74,,5439.94,28.52,,04-25,20110629.0,38.365,38.365,0.0,137.017857143,,inf
3337,600749,西藏旅游,-0.5,-1877.03,,-16.2,,-9512.41,-1876.28,,02-23,19961015.0,23.62,23.61,-0.0423370025402,-47.22,,44317.7336
3367,000707,双环科技,-1.35,-5406.67,,-55.99,,-62807.15,-5414.34,,03-28,19970415.0,8.987,8.94,-0.522977634361,-6.62222222222,,10352.9092723
3148,600155,宝硕股份,-0.22,-146.81,,-6.69,,-14212.1,-162.96,,04-07,19980918.0,14.98,14.97,-0.0667556742323,-68.0454545455,,2441.1408
3368,000655,金岭矿业,-0.95,-5500.0,,-19.46,,-56256.37,-5484.47,,03-18,19961128.0,9.74,9.47,-2.77207392197,-9.96842105263,,1978.47177037
213,300158,振东制药,0.56,147.57,,6.26,,20306.39,214.12,,04-26,20110107.0,19.497,19.521,0.123095860902,34.8589285714,,1739.45735
3378,600892,大晟文化,1.09,-5550.0,,9.58,,15268.31,-15675.41,10转30,04-28,19960315.0,21.81,19.578,-10.2338376891,17.9614678899,,1531.72353092
3317,000045,深纺织A,-0.17,-950.0,,-4.1,,-8727.06,-1127.05,,03-31,19940815.0,14.11,14.0,-0.779588944011,-82.3529411765,,1445.69777273
3380,600871,石化油服,-1.14,-57050.0,,-97.19,,-1611476.3,-65933.66,,03-29,19950411.0,8.16,4.1,-49.7549019608,-3.59649122807,,1325.16912709
7,600771,广誉远,0.44,4300.0,4.84,15.82,,12281.01,5948.84,,03-21,19961105.0,31.98,33.44,4.56535334584,76.0,6.90909090909,1303.04043288
33,000514,渝开发,0.15,1571.26,,4.28,,12266.15,1564.15,10派0.2,03-11,19930712.0,11.478,11.647,1.47238194807,77.6466666667,,1062.32625444
248,000663,永安林业,0.36,80.0,,5.92,,12291.03,173.83,,04-28,19961206.0,16.82,16.85,0.178359096314,46.8055555556,,974.606866666
3181,601225,陕西煤业,0.28,-193.33,,8.35,0.83,275488.53,-192.18,,04-28,20140128.0,4.8,4.79,-0.208333333333,17.1071428571,,922.464000001
3364,002552,宝鼎科技,-0.56,-5700.0,,-23.09,,-16684.33,-3986.43,,04-15,20110225.0,16.828,16.08,-4.44497266461,-28.7142857143,,896.840160962
3375,000662,天夏智慧,0.46,-5331.82,,8.48,,32349.9,-12841.17,10派0.5,04-12,19961216.0,25.501,21.224,-16.7718912984,46.1391304348,,765.636371685
10,600508,上海能源,0.62,3000.0,,5.48,,45166.86,3859.62,10派1,03-23,20010829.0,10.198,10.763,5.54030202,17.3596774194,,696.644332036
134,600493,凤竹纺织,0.21,333.89,,8.49,,5642.09,334.07,,03-31,20040421.0,16.682,16.767,0.509531231267,79.8428571429,,655.641851765
3206,600527,江南高纤,0.03,-250.0,,1.67,,2744.91,-246.81,10派0.4,02-21,20031127.0,7.057,7.03,-0.382598838033,234.333333333,,645.088211111
3371,600397,安源煤业,-2.08,-7491.46,,-81.95,,-205618.16,-7478.79,,04-26,20020702.0,5.84,5.16,-11.6438356164,-2.48076923077,,642.296082355
2,002092,中泰化学,0.95,17149.09,,14.74,,184347.44,23914.89,,03-20,20061208.0,8.717,12.018,37.8685327521,12.6505263158,,631.524071887
16,000766,通化金马,0.23,2200.0,,5.71,,21346.15,3010.27,,04-20,19970430.0,16.74,17.56,4.89844683393,76.347826087,,614.535607317
3360,002659,中泰桥梁,-0.25,-2600.0,,-7.53,,-9604.54,-3453.75,,03-28,20120309.0,23.35,21.77,-6.76659528908,-87.08,,510.411787975
3379,000511,*ST烯碳,-0.41,-20600.0,,-43.45,,-47425.93,-21015.43,,06-24,19930518.0,11.71,6.38,-45.5166524338,-15.5609756098,,461.708602814
3340,600209,罗顿发展,-0.1,-1935.09,,-6.58,,-4594.12,-1925.61,,04-15,19990325.0,13.41,12.83,-4.32513049963,-128.3,,445.214312069
50,600148,长春一东,0.09,987.34,,3.3,,1216.04,987.94,,04-21,19980520.0,27.37,27.99,2.26525392766,311.0,,436.127706451
3377,000852,石化机械,-1.39,-14000.0,,-38.96,,-82872.2,-14297.18,,04-13,19981126.0,16.432,10.84,-34.0311587147,-7.79856115108,,420.120282117
2596,601601,中国太保,1.33,-32.14,14.54,9.1,6.97,1205700.0,-31.99,10派7,03-30,20071225.0,27.248,27.226,-0.0807398708162,20.4706766917,1.87248968363,396.210690909
5,000813,德展健康,0.67,4975.76,,35.71,,66167.19,10642.07,10转5,04-22,19980519.0,7.497,9.616,28.264639189,14.352238806,,376.515331713
3335,000584,哈工智能,-0.67,-1658.41,,-23.77,,-40911.48,-1658.25,,03-30,19951128.0,12.43,11.85,-4.66613032985,-17.6865671642,,355.38012931
3353,600778,友好集团,-1.28,-2713.44,,-28.58,,-39971.89,-2712.84,,04-26,19961203.0,12.27,11.26,-8.23145884271,-8.796875,,329.569770297
2953,600971,恒源煤电,0.04,-102.9,,0.63,,3528.66,-102.55,,04-06,20040817.0,6.29,6.27,-0.317965023847,156.75,,322.51975
3373,600169,太原重工,-0.79,-8805.49,,-42.91,,-192031.2,-8784.47,,04-25,19980904.0,5.74,4.03,-29.7909407666,-5.10126582278,,294.87051345
2912,300090,盛运环保,0.09,-87.09,,2.28,,11908.15,-83.9,,04-27,20100625.0,11.634,11.6,-0.292246862644,128.888888889,,287.086058824
14,002684,猛狮科技,0.29,2800.0,,6.54,,9397.69,3276.11,,04-08,20120612.0,19.369,21.685,11.9572512778,74.775862069,,273.985209802
1497,601318,中国平安,3.5,17.45,20.98,17.36,12.77,6239400.0,15.11,10派5.5,03-23,20070301.0,34.714,34.735,0.0604943250562,9.92428571429,1.65562440419,249.775495238
3049,600732,ST新梅,0.04,-117.52,,5.26,,1954.76,-117.39,,02-22,19960816.0,7.71,7.67,-0.518806744488,191.75,,226.269225
3354,601969,海南矿业,-0.15,-1600.0,,-6.88,,-28577.6,-2904.08,,03-28,20141209.0,14.053,12.24,-12.9011598947,-81.6,,225.102240706
3341,000017,深中华A,0.0,-1666.67,,19.93,,260.36,-1981.84,,04-27,19920331.0,13.9,12.6,-9.35251798561,inf,,211.904430769
3365,600150,中国船舶,-1.89,-4825.0,,-16.03,,-260682.0,-4314.78,,04-29,19980520.0,34.799,27.61,-20.6586396161,-14.6084656085,,208.860800139
20,600161,天坛生物,0.51,2450.0,,12.63,,26177.74,2523.75,10派3送3,04-27,19980616.0,26.701,30.117,12.7935283323,59.0529411765,,197.267707113
197,300420,五洋科技,0.3,7.14,,7.51,,7268.71,235.01,,03-04,20150217.0,12.342,12.495,1.23966942149,41.65,,189.574733333
490,600644,乐山电力,0.39,83.04,,18.95,,21147.2,83.07,,02-28,19930426.0,9.12,9.16,0.438596491228,23.4871794872,,189.3996
2660,601117,中国化学,0.36,-37.93,,6.59,,177038.43,-37.7,,04-22,20100107.0,6.682,6.668,-0.209518108351,18.5222222222,,179.936714286
3369,600198,大唐电信,-2.01,-6351.24,,-55.81,,-177562.35,-6342.55,,04-22,19981021.0,24.67,15.87,-35.6708552898,-7.89552238806,,177.807623296
3328,600202,哈空调,-0.47,-1398.35,,-23.46,,-18117.93,-1398.89,,04-25,19990603.0,13.2,12.1,-8.33333333333,-25.7446808511,,167.8668
3321,600354,敦煌种业,-0.48,-1092.37,,-24.88,,-25403.86,-1236.88,,04-28,20040115.0,9.88,9.11,-7.79352226721,-18.9791666667,,158.706161039
3352,601608,中信重工,-0.37,-1950.0,,-19.94,,-158393.73,-2656.07,,03-23,20120706.0,6.825,5.61,-17.8021978022,-15.1621621622,,149.198993827
2998,600963,岳阳林纸,0.03,-108.11,,0.54,,2822.86,-107.24,,03-28,20040525.0,8.23,8.17,-0.729040097205,272.333333333,,147.097533333
319,300065,海兰信,0.34,100.0,,6.72,,8198.35,131.4,,04-22,20100326.0,25.395,25.631,0.929316794645,75.3852941176,,141.394194915
137,300283,温州宏丰,0.06,200.0,,3.9,,2426.1,324.33,,03-31,20120110.0,9.583,9.806,2.32703746217,163.433333333,,139.374636323
468,601058,赛轮金宇,0.16,-15.79,,8.31,,36224.76,87.5,10派0.6,03-31,20110630.0,3.98,4.005,0.628140703518,25.03125,,139.3
3322,002453,天马精化,-0.54,-1450.0,,-29.4,,-30704.57,-1311.03,,04-13,20100720.0,11.238,10.18,-9.41448656345,-18.8518518519,,139.256664839
3275,002359,北讯集团,-0.12,-525.64,,-5.28,,-4841.51,-524.76,,02-17,20100210.0,17.473,16.808,-3.80587191667,-140.066666667,,137.881676391
32,600421,仰帆控股,0.02,1900.0,,44.28,,321.0,1617.28,,04-27,20040607.0,22.68,25.48,12.3456790123,1274.0,,130.99968
437,600614,鹏起科技,0.05,0.0,,2.0,,9169.23,94.76,10派0.2,03-18,19920828.0,11.595,11.679,0.724450194049,233.58,,130.802642857
3358,600096,云天化,-2.57,-2964.73,,-62.1,,-335949.24,-3419.93,,03-30,19970709.0,12.97,9.49,-26.8311488049,-3.69260700389,,127.461184196
252,000709,河钢股份,0.15,200.0,,3.52,,155547.92,171.25,10派0.8,04-28,19970416.0,3.235,3.279,1.3601236476,21.86,,125.907670455
3344,002564,天沃科技,-0.41,-2150.0,,-10.15,,-29971.09,-2046.95,,03-18,20110310.0,12.163,10.0,-17.7834415851,-24.3902439024,,115.104266528
380,002057,中钢天源,0.17,109.48,,6.51,,3437.69,109.51,10派0.2,04-26,20060802.0,16.78,16.941,0.95947556615,99.6529411765,,114.135267081
285,002502,骅威文化,0.35,0.0,,9.28,,30301.85,151.78,,03-29,20101117.0,12.698,12.867,1.33091825484,36.7628571429,,114.041564497
3254,600512,腾达建设,0.07,-333.33,,3.13,,8447.41,-394.37,10派0.3,03-25,20021226.0,5.457,5.268,-3.46344145135,75.2571428571,,113.866512698
102,600975,新五丰,0.3,130.77,,16.97,,19662.11,431.94,10派1,04-28,20040609.0,8.241,8.567,3.95583060308,28.5566666667,,109.190722086
3347,600691,阳煤化工,-0.52,-2193.12,,-21.92,,-90851.56,-2196.82,,04-12,19931119.0,4.84,3.84,-20.6611570248,-7.38461538462,,106.326088
3169,300092,科新机电,0.14,-177.8,,6.46,,3188.97,-177.8,,03-29,20100708.0,14.12,13.88,-1.69971671388,99.1428571429,,104.605666667
4,002352,顺丰控股,1.06,381.82,,22.46,,418042.62,16534.82,,03-13,20100205.0,15.895,41.461,160.8430324,39.1141509434,,102.800971564
3255,601798,蓝科高新,-0.39,-407.14,,-7.26,,-13737.96,-407.43,,04-25,20110622.0,14.107,13.54,-4.01928120791,-34.7179487179,,101.368871429
3323,002263,大东南,-0.1,-600.0,,-6.53,,-18560.78,-1312.93,,04-27,20080728.0,4.865,4.23,-13.0524152107,-42.3,,100.589046457
3319,000157,中联重科,-0.12,-1300.0,,-2.44,,-93369.75,-1218.64,10派1.5,03-31,20001012.0,5.005,4.397,-12.1478521479,-36.6416666667,,100.317322368
88,000609,绵石投资,0.45,488.24,,9.83,,13311.34,483.78,,04-01,19961010.0,15.113,15.848,4.8633626679,35.2177777778,,99.4743828572
109,600348,阳泉煤业,0.18,500.0,,3.14,,42904.83,414.49,,04-08,20030821.0,6.46,6.73,4.17956656347,37.3888888889,,99.1705703703
697,600537,亿晶光电,0.31,-22.5,,12.45,,35920.57,53.86,10派1.53,04-25,20030123.0,7.171,7.21,0.543857202622,23.2580645161,,99.0333487179
3356,600478,科力远,-0.15,-1909.52,,-15.19,,-21160.81,-2935.11,,03-25,20030918.0,14.61,10.0,-31.5537303217,-66.6666666667,,93.019429718
990,300387,富邦股份,0.69,32.69,,12.63,,8531.29,34.17,,04-27,20140702.0,30.361,30.473,0.368894305194,44.1637681159,,92.6281580358
52,601233,桐昆股份,1.03,758.33,,12.61,,113214.71,882.73,,03-28,20110518.0,12.803,14.04,9.66179801609,13.6310679612,,91.3629118027
486,600688,上海石化,0.55,83.06,2.29,26.38,0.67,595557.6,83.48,10派2.5,03-16,19931108.0,6.142,6.2,0.944317811788,11.2727272727,2.70742358079,88.4024413793
3291,600071,凤凰光学,-0.49,-686.83,,-25.73,,-11539.68,-681.68,,03-10,19970528.0,25.85,23.8,-7.93036750484,-48.5714285714,,85.9581853658
3362,601919,中远海控,-0.97,-3333.33,,-44.19,,-990600.36,-3595.52,,03-31,20070626.0,9.02,5.24,-41.9068736142,-5.40206185567,,85.797858201
3342,600896,览海投资,-0.57,-1525.0,,-23.53,,-45936.69,-2002.9,,04-25,19960503.0,16.17,12.36,-23.5621521336,-21.6842105263,,85.0049685039
580,002734,利民股份,0.83,56.6,,12.18,,11299.23,67.55,,03-30,20150127.0,33.529,33.803,0.817203018283,40.7265060241,,82.6599981752
3329,002529,海源机械,-0.16,-1260.71,,-2.87,,-3817.72,-1460.48,,04-28,20101224.0,25.69,21.14,-17.7111716621,-132.125,,82.4609476924
3348,000428,华天酒店,-0.28,-1500.0,,-9.0,,-28854.88,-2349.71,,04-27,19960808.0,10.25,7.26,-29.1707317073,-25.9285714286,,80.5502591974
