,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,timeToMarket,start,end,percent,PE,PB,dividend
1803,600890,中房股份,-0.03,5.0,,-6.58,,-1821.65,8.23,,08-17,19960318,11.27,11.27,0.0,-375.666666667,,inf
150,600673,东阳光科,0.08,500.0,,5.71,,20840.8,484.85,,08-19,19930917,7.29,7.29,0.0,91.125,,inf
328,002075,沙钢股份,0.09,187.58,,6.68,,18902.37,187.56,,08-26,20061025,16.12,16.12,0.0,179.111111111,,inf
362,002387,黑牛食品,-0.21,159.65,,-13.89,,-9788.55,159.54,,07-25,20100413,17.41,17.41,0.0,-82.9047619048,,inf
244,002260,德奥通航,-0.15,275.0,,-12.2,,-3970.53,288.66,,08-24,20080716,23.1,23.1,0.0,-154.0,,inf
1769,002129,中环股份,0.1,9.17,,2.57,,27404.9,9.26,,08-25,20070420,8.24,8.24,0.0,82.4,,inf
2048,000029,深深房A,0.14,1.8,,5.06,,13722.66,1.83,,08-30,19930915,11.17,11.17,0.0,79.7857142857,,inf
434,600655,豫园股份,0.23,130.3,,3.03,,32832.51,129.77,,08-30,19920902,11.32,11.32,0.0,49.2173913043,,inf
953,000693,*ST华泽,-0.14,40.61,,-9.64,,-7487.55,40.51,,08-31,19970226,12.5,12.5,0.0,-89.2857142857,,inf
0,600395,盘江股份,0.28,,,7.23,,46091.58,576765.83,,08-29,20010531,7.845,8.06,2.74059910771,28.7857142857,,210452.462156
8,000885,同力水泥,0.26,11108.7,,5.02,,12703.81,11484.33,,08-25,19990319,19.031,19.07,0.204928800378,73.3461538462,,56040.5857001
3296,600967,内蒙一机,0.12,-346.81,,2.67,,19616.48,-610.94,,08-29,20040518,13.54,13.52,-0.147710487445,112.666666667,,4136.06379999
285,600280,中央商场,0.21,224.62,,13.15,,24279.13,226.51,,08-18,20000926,8.565,8.57,0.0583771161705,40.8095238095,,3880.1163
11,000937,冀中能源,0.16,6111.54,,3.01,,57054.6,6128.65,,08-18,19990909,6.63,6.84,3.16742081448,42.75,,1934.90235714
13,000959,首钢股份,0.18,5687.1,,3.75,,94889.51,5667.78,,08-22,19991216,6.62,6.91,4.38066465257,38.3888888889,,1293.81736552
3212,601113,华鼎股份,0.03,-250.0,,0.84,,2318.89,-235.36,,08-31,20110509,10.52,10.5,-0.190114068441,350.0,,1237.9936
29,601857,中国石油,0.07,2200.0,,1.06,,1267400.0,2300.38,10派0.6926,08-25,20071105,7.84,7.99,1.91326530612,114.142857143,,1202.33194667
1,600291,西水股份,2.16,36427.12,,19.91,,235570.6,39069.99,,08-31,20000731,19.169,26.72,39.3917262246,12.3703703704,,991.832390823
506,600738,兰州民百,0.1,-4.59,,4.66,,8114.11,102.62,,08-30,19960802,9.46,9.47,0.105708245243,94.7,,970.785200001
3345,000736,中房地产,-0.24,-15866.67,,-4.94,,-7027.85,-16336.97,,08-25,19970425,19.423,16.02,-17.5204654276,-66.75,,932.4506856
