code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
600395,盘江股份,0.28,,,7.23,,46091.58,576765.83,,08-29
600291,西水股份,2.16,36427.12,,19.91,,235570.6,39069.99,,08-31
000881,中广核技,0.14,13590.0,,2.8,,14454.48,34881.78,,08-21
000892,欢瑞世纪,-0.04,10000.0,,-1.48,,-3963.4,25180.57,,08-25
600561,江西长运,0.04,19900.0,,0.65,,915.0,19148.32,,08-25
002352,顺丰控股,0.45,800.0,,8.84,,188362.62,17045.24,,08-26
002468,申通快递,0.49,4800.0,,12.84,,74650.09,16308.12,,08-21
600515,海航基础,0.27,1191.43,,3.09,,105962.43,11819.71,,08-31
000885,同力水泥,0.26,11108.7,,5.02,,12703.81,11484.33,,08-25
600801,华新水泥,0.49,4800.0,,7.05,,72796.48,8954.01,,08-26
600592,龙溪股份,0.07,6518.18,,1.55,,2910.27,6575.53,,08-26
000937,冀中能源,0.16,6111.54,,3.01,,57054.6,6128.65,,08-18
000960,锡业股份,0.24,5700.0,,4.45,,35853.01,5676.33,,08-31
000959,首钢股份,0.18,5687.1,,3.75,,94889.51,5667.78,,08-22
600233,圆通速递,0.25,459.45,,8.1,,69277.59,4682.42,,08-25
600133,东湖高新,1.13,4443.95,,32.18,,71473.92,4440.23,,08-30
600728,佳都科技,0.02,4080.0,,1.13,,3317.1,4351.69,,08-29
600293,三峡新材,0.22,1660.98,,5.2,,18181.19,4185.58,,07-14
300227,光韵达,0.09,3155.17,,2.95,,1413.72,3362.64,,08-19
000567,海德股份,0.25,3189.47,,15.86,,3744.27,3164.47,,08-31
600497,驰宏锌锗,0.13,1304.44,,5.99,,54462.82,3148.5,,08-22
002648,卫星石化,0.6,3022.28,,13.49,,48417.89,3029.28,,08-15
603825,华扬联众,0.23,2200.0,,4.2,,2741.59,2857.41,,08-29
600516,方大炭素,0.24,2654.02,,6.83,,41185.41,2647.66,,08-22
603612,索通发展,1.2,,,14.38,,21614.67,2532.83,,08-23
000517,荣安地产,0.15,2533.93,,12.01,,46969.56,2511.25,,08-30
600022,山东钢铁,0.07,2396.3,,3.65,,59558.56,2472.58,,07-28
002388,新亚制程,0.13,2500.0,,8.57,,5177.0,2443.11,,08-23
600641,万业企业,1.96,2424.77,,30.61,,157744.57,2425.69,,08-18
601857,中国石油,0.07,2200.0,,1.06,,1267400.0,2300.38,10派0.6926,08-25
603318,派思股份,0.07,2233.33,,5.39,,2581.81,2296.28,,08-18
002145,中核钛白,0.15,2134.85,,8.45,,23503.41,2121.95,,08-25
601699,潞安环能,0.38,1800.0,,5.97,,114252.19,2118.85,,08-25
601225,陕西煤业,0.55,2091.24,,14.6,,547280.71,2083.49,,08-26
600103,青山纸业,0.04,1182.14,,1.97,,6360.8,2054.04,,08-22
600010,包钢股份,0.01,1512.5,,1.24,,58765.41,2035.53,,08-24
600618,氯碱化工,0.22,1925.23,,12.13,,25055.82,1931.41,,08-28
002683,宏大爆破,0.11,1690.62,,2.78,,8041.46,1902.37,,08-24
002136,安纳达,0.38,1897.35,,14.91,,8118.03,1895.11,,08-22
002120,韵达股份,0.74,174.07,,18.18,,74773.49,1775.7,,08-24
000930,中粮生化,0.23,1692.31,,13.39,,22423.48,1756.14,,08-28
002601,龙蟒佰利,0.65,550.0,,10.22,,130993.25,1742.13,10派5,08-29
603326,我乐家居,0.1,1681.03,,4.04,,1239.49,1694.28,,08-28
000672,上峰水泥,0.32,1500.0,,16.55,,26195.57,1652.0,,08-30
600258,首旅酒店,0.33,450.58,,3.52,,24071.66,1626.29,,08-29
600070,浙江富润,0.19,1102.53,,4.31,,9720.47,1620.17,,08-23
600200,江苏吴中,0.09,1433.33,,2.23,,6613.81,1563.82,,08-23
600428,中远海特,0.03,1600.0,,0.77,,7224.38,1538.04,,08-31
600389,江山股份,0.22,1489.36,,4.73,,6655.26,1486.92,,08-22
600247,ST成城,-0.98,1453.97,,,,-32953.4,1446.54,,08-31
